Year,Region Name,Region Code,AG.LND.AGRI.K2,AG.LND.TOTL.K2,AG.SRF.TOTL.K2,EG.ELC.COAL.ZS,EG.ELC.FOSL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.ELC.RNEW.ZS,EG.ELC.RNWX.KH,EG.ELC.RNWX.ZS,EG.FEC.RNEW.ZS,EG.GDP.PUSE.KO.PP,EG.USE.COMM.CL.ZS,EG.USE.COMM.FO.ZS,EG.USE.ELEC.KH.PC,EN.ATM.CO2E.GF.KT,EN.ATM.CO2E.GF.ZS,EN.ATM.CO2E.KT,EN.ATM.CO2E.LF.KT,EN.ATM.CO2E.LF.ZS,EN.ATM.CO2E.PC,EN.ATM.CO2E.PP.GD,EN.ATM.CO2E.SF.KT,EN.ATM.CO2E.SF.ZS,EN.CO2.BLDG.ZS,EN.CO2.ETOT.ZS,EN.CO2.MANF.ZS,EN.CO2.OTHX.ZS,EN.CO2.TRAN.ZS,EN.POP.DNST,NY.GDP.TOTL.RT.ZS,SP.RUR.TOTL,SP.URB.TOTL
2007,Arab World,ARB,4100190,11235331,11291048.9,1.762740052,89.98478775,3.963724139,61.2486014,0,26.97344629,4.150216715,1166000000,0.164995978,5.600932865,9.340956863,0.423763488,96.12584384,1998.315402,515995.9678,36.56635746,1360284.651,720301.476,52.9522608,4.118446523,0.295888043,,1.620960068,5.650951427,46.89808167,20.71900876,1.564071918,25.16874608,29.39750649,33.49301886,148138437,182152279
2007,Central Europe and the Baltics,CEB,533505,1103146,1134949,56.83408594,68.00459533,8.193397987,9.389399714,19.71945846,1.781109672,9.697571938,7175000000,1.504173952,10.96592772,6.573273863,9.804793098,83.06888313,3984.588999,137351.152,17.9142454,766714.695,182953.964,23.86206567,7.275800003,0.410447437,420916.595,54.8987254,12.00825347,54.6208563,14.25352266,2.264273885,16.85037874,95.52565844,1.040325097,40210586,65168162
2007,Early-demographic dividend,EAR,13587082.37,33238064.3,34138970.28,32.42192243,77.75731147,17.32497944,32.49519757,1.5841465,12.84019147,19.50357197,54502000000,1.762419167,27.85972034,7.701243328,2.285504922,78.22968464,928.9659299,1289864.184,22.74494019,5484214.853,2140563.579,39.03135884,1.974925424,0.321627969,1948827.241,31.61740861,10.53527462,46.18658823,19.46484828,3.102839422,20.7090156,83.54645681,11.4209237,1642568366,1134354137
2007,East Asia & Pacific,EAS,11860388.11,24423314.2,24861936.2,60.5776799,77.8221845,11.25481005,12.81894443,8.43509297,4.425560165,12.56321259,71247000000,1.179682452,15.03989166,5.774330106,5.424206782,84.74013956,2645.087832,722735.0336,7.002418871,10281497.77,2339384.075,22.75333933,4.756021086,0.486209432,6392123.585,62.02846277,6.692401242,51.07052605,28.41552868,2.080749288,11.74069391,88.51319503,3.139450175,1105876303,1055909270
2007,East Asia & Pacific (IDA & IBRD countries),TEA,7659722.111,15830280,16187472,73.75591471,82.80867258,14.32083532,6.924161786,1.628329618,2.128596087,15.40080689,34875000000,0.914018919,18.93812665,4.917456461,2.625258738,84.52437505,1879.529598,343205.6728,4.435355729,7708019.332,1342529.037,17.41730241,4.05727823,0.597279904,5271194.486,68.21911174,6.129645981,50.19086266,31.84411328,2.335515329,9.499457093,120.010545,6.815940355,1061903356,837897174
2007,East Asia & Pacific (excluding high income),EAP,7685723.111,15950410,16307732,73.53733994,82.55919891,14.58663654,6.885338828,1.619199766,2.136520148,15.66049492,34875000000,0.908894123,18.85984221,4.917456461,2.639405987,84.54844309,1865.200103,343852.0043,4.398871395,7772136.778,1344889.935,17.30399211,4.039533864,0.601107024,5329778.786,68.41122377,6.078856199,49.90346766,32.10451235,2.477931634,9.434829942,120.6250012,6.815295795,1071589703,852428523
2007,Euro area,EMU,1205833.2,2676941,2758145,24.66025007,51.18173245,9.087827084,22.31453938,31.36909847,4.206942993,15.82794368,1.60E+11,6.749344891,10.33718755,9.149663831,17.8540196,75.21275897,6861.332255,686750.8756,25.32207342,2705219.24,1207011.385,44.6178767,8.132447198,0.23656576,702990.4973,25.97028683,15.29669149,41.44622707,14.01627389,2.204651877,27.03730713,124.2631664,0.17131368,84503088,248142077
2007,Europe & Central Asia,ECS,8075148.1,27442783.03,28464500.92,26.47022802,56.89382784,14.95143025,27.63981907,23.05864164,2.783780751,18.94834348,2.10E+11,3.966317415,9.009264358,7.140376345,13.2462119,81.61764451,5557.635909,2322879.822,33.204972,6985332.291,2256108.385,32.30233933,7.962301311,0.329931288,2158270.369,30.80272126,13.50217167,48.98032406,14.09409994,2.457486379,20.96591795,31.96835653,1.862790823,261225564,614341704
2007,Europe & Central Asia (IDA & IBRD countries),TEC,6486625,22986276,23854919,29.78219728,69.11996274,16.30148278,37.254188,13.95552815,2.083577463,16.53594748,4662000000,0.234464702,5.784102557,4.48553715,7.293940021,89.88846972,4004.96399,1376189.86,40.66501473,3381468.964,707977.5156,20.93508526,7.761958421,0.580003578,1183194.539,34.69900992,11.45676962,56.50835223,14.72867227,2.913219841,14.39266665,18.95245511,9.288309542,153339618,280573342
2007,Europe & Central Asia (excluding high income),ECA,6183615,22394106,23247259,23.8503344,66.96720938,17.15377867,41.11024394,15.36858116,2.006631043,17.23940116,1503000000,0.085622486,5.04664361,4.179493823,7.898802629,89.7620315,4124.677719,1312991.177,44.58572693,2941111.747,605214.7285,20.57466265,7.899151745,0.610023604,924862.2015,31.10697805,11.19026363,56.67586492,14.86206311,2.92622461,14.34595265,16.62636611,11.3760675,126881304,243717897
2007,European Union,EUU,1718563.2,3997351,4142095,29.24049238,52.33818983,10.46058451,19.40159923,29.49361875,3.696098215,16.79032191,1.87E+11,6.336984719,11.47334556,8.71809513,17.05951921,75.72293358,6405.551689,810216.0653,23.26119505,3475446.921,1417493.518,40.78593488,7.92633385,0.25575355,1114460.266,32.04925704,14.44474986,44.0835863,14.05574013,2.251595478,25.164627,109.689742,0.289539312,121296150,317172250
2007,Fragile and conflict affected situations,FCS,5143015.19,16578258,16861098,2.357906291,48.29115743,41.36720882,22.1650995,0,23.76815163,45.25144779,143000000,0.042920137,61.41507236,6.808990226,2.531208875,49.58806056,496.1423484,142178.7238,22.83915051,552632.5079,315590.2187,57.56187171,0.918360329,0.233106403,,2.004433207,8.792144801,40.98426594,12.52809653,3.326629599,34.3759612,36.29814399,25.01086299,360887149,239139443
2007,High income,HIC,12888224,35254419.63,36935360.42,36.44536052,63.08849385,11.24289002,22.02292572,20.73637828,4.620207611,14.55858831,3.71E+11,3.311372408,8.316686032,7.462280354,12.64578566,82.85853097,9224.427547,3195164.176,22.95907976,13875575.81,5776867.029,41.62925084,12.02090406,0.319514797,4668014.11,32.9663921,10.78863821,48.28678133,12.59363712,1.32956309,27.00152955,32.74163132,1.783479875,247336833,906914240
2007,IBRD only,IBD,25828335.28,71005231,72982960,50.07571151,73.86691505,20.0040069,19.24702805,4.673813736,4.544175484,21.1922715,99820000000,1.172570706,19.07010951,5.870686656,4.190225067,83.46345445,1756.681168,2491084.207,15.93926757,15419500.31,3821670.393,24.78465784,3.588539307,0.464514649,8134621.91,51.30499014,8.171563923,50.12408211,24.75239376,2.627485827,14.3236374,60.51488995,8.735967151,2231109106,2065764634
2007,IDA & IBRD total,IBT,34514502.8,93510223.3,96039658.28,47.69523644,72.72263785,20.60812173,19.79970766,4.473085442,5.227693746,22.06748841,1.02E+11,1.138968675,24.49310338,5.843139777,4.009018137,79.84503241,1468.896802,2784359.516,16.7699391,16109569.75,4130280.467,25.64002135,2.892022447,0.443355524,8315776.92,49.44930104,8.41950414,49.58711969,24.53877888,2.710514497,14.74347769,59.56939484,8.955781882,3097473163,2471140846
2007,IDA blend,IDB,1944780.02,4369370,4457950,2.201724899,66.2180995,28.01057592,45.70008354,1.584726904,18.31629106,29.87228619,1290000000,0.664380145,60.17389706,5.42582732,1.728841778,45.78371761,391.0157368,207487.0027,45.60254173,409732.245,122921.507,30.00044749,0.965910794,0.269367951,40271.14847,8.894258737,18.28969674,34.06793495,22.04118792,3.042004144,22.55917624,97.08324884,12.33417561,266877929,157314706
2007,IDA total,IDA,8686167.52,22504992.3,23056698.28,2.844665816,53.01537696,33.2069409,31.36103716,0.707945383,18.80967398,40.12544829,2274000000,0.523193956,66.44641675,5.527693411,2.015725231,40.39391606,299.9658839,336093.2978,35.75929238,687626.5741,309026.6434,45.19383933,0.539961358,0.216157746,72594.85876,7.027796957,15.0481092,35.23159544,18.82785112,4.930260312,25.96777803,56.58627456,11.8817101,866364057,405376212
2007,Late-demographic dividend,LTE,15295593.78,44555247,45821596.9,53.85518703,72.54941422,21.02445124,15.88050235,4.349199777,2.813724841,21.97104487,52182000000,0.872498482,15.86433348,5.139814045,4.444085744,85.6788214,2555.988634,1614207.456,14.54906083,10920929.64,2232485.139,20.44226282,5.101075371,0.549203838,6367441.62,56.69318591,6.777819785,51.53057785,27.23886393,2.481651139,11.97118499,48.05062192,8.693508151,1020201955,1120705373
